,country,product_type,year,1K_tonne_oil_equivalent
309,Estonia,Renewables and biofuels	,2010,558.207
310,Ireland,Renewables and biofuels	,2010,310.860
311,Greece,Renewables and biofuels	,2010,"1,249.267"
312,Spain,Renewables and biofuels	,2010,"5,383.731"
313,France,Renewables and biofuels	,2010,"12,948.238"
314,Croatia,Renewables and biofuels	,2010,"1,270.572"
315,Italy,Renewables and biofuels	,2010,"9,072.963"
316,Cyprus,Renewables and biofuels	,2010,101.689
317,Latvia,Renewables and biofuels	,2010,945.112
318,Lithuania,Renewables and biofuels	,2010,737.427
319,Luxembourg,Renewables and biofuels	,2010,95.056
320,Hungary,Renewables and biofuels	,2010,"1,974.501"
321,Malta,Renewables and biofuels	,2010,4.857
322,Netherlands,Renewables and biofuels	,2010,"1,019.543"
323,Austria,Renewables and biofuels	,2010,"4,117.751"
324,Poland,Renewables and biofuels	,2010,"5,289.853"
325,Portugal,Renewables and biofuels	,2010,"2,526.767"
326,Romania,Renewables and biofuels	,2010,"4,047.082"
327,Slovenia,Renewables and biofuels	,2010,701.008
328,Slovakia,Renewables and biofuels	,2010,540.676
329,Finland,Renewables and biofuels	,2010,"4,835.688"
330,Sweden,Renewables and biofuels	,2010,"5,442.130"
331,Iceland,Renewables and biofuels	,2010,101.629
332,Norway,Renewables and biofuels	,2010,"1,765.091"
333,United Kingdom,Renewables and biofuels	,2010,"2,842.370"
334,Montenegro,Renewables and biofuels	,2010,161.006
335,North Macedonia,Renewables and biofuels	,2010,203.265
336,Albania,Renewables and biofuels	,2010,211.713
337,Serbia,Renewables and biofuels	,2010,"1,030.357"
338,Turkey,Renewables and biofuels	,2010,"6,264.665"
339,Bosnia and Herzegovina,Renewables and biofuels	,2010,:
340,Kosovo (under United Nations Security Council Resolution 1244/99),Renewables and biofuels	,2010,236.577
341,Moldova,Renewables and biofuels	,2010,499.236
342,Ukraine,Renewables and biofuels	,2010,983.137
343,Georgia,Renewables and biofuels	,2010,:
344,European Union - 27 countries (from 2020),Non-renewable waste,2010,"2,606.878"
345,European Union - 28 countries (2013-2020),Non-renewable waste,2010,"2,696.565"
346,Euro area - 19 countries  (from 2015),Non-renewable waste,2010,"1,971.524"
347,Belgium,Non-renewable waste,2010,183.871
348,Bulgaria,Non-renewable waste,2010,3.392
349,Czechia,Non-renewable waste,2010,161.173
350,Denmark,Non-renewable waste,2010,22.475
351,Germany (until 1990 former territory of the FRG),Non-renewable waste,2010,953.282
352,Estonia,Non-renewable waste,2010,0.000
353,Ireland,Non-renewable waste,2010,8.552
354,Greece,Non-renewable waste,2010,0.000
355,Spain,Non-renewable waste,2010,0.000
356,France,Non-renewable waste,2010,138.635
357,Croatia,Non-renewable waste,2010,7.619
358,Italy,Non-renewable waste,2010,222.724
359,Cyprus,Non-renewable waste,2010,7.141
360,Latvia,Non-renewable waste,2010,28.208
361,Lithuania,Non-renewable waste,2010,0.000
362,Luxembourg,Non-renewable waste,2010,14.256
363,Hungary,Non-renewable waste,2010,31.862
364,Malta,Non-renewable waste,2010,0.000
365,Netherlands,Non-renewable waste,2010,57.514
366,Austria,Non-renewable waste,2010,228.149
367,Poland,Non-renewable waste,2010,378.165
368,Portugal,Non-renewable waste,2010,54.600
369,Romania,Non-renewable waste,2010,30.668
370,Slovenia,Non-renewable waste,2010,18.105
371,Slovakia,Non-renewable waste,2010,21.018
372,Finland,Non-renewable waste,2010,35.469
373,Sweden,Non-renewable waste,2010,0.000
374,Iceland,Non-renewable waste,2010,0.000
375,Norway,Non-renewable waste,2010,65.709
376,United Kingdom,Non-renewable waste,2010,89.687
377,Montenegro,Non-renewable waste,2010,0.000
378,North Macedonia,Non-renewable waste,2010,0.000
379,Albania,Non-renewable waste,2010,0.000
380,Serbia,Non-renewable waste,2010,0.000
381,Turkey,Non-renewable waste,2010,0.000
382,Bosnia and Herzegovina,Non-renewable waste,2010,:
383,Kosovo (under United Nations Security Council Resolution 1244/99),Non-renewable waste,2010,0.000
384,Moldova,Non-renewable waste,2010,0.000
385,Ukraine,Non-renewable waste,2010,0.000
386,Georgia,Non-renewable waste,2010,:
387,European Union - 27 countries (from 2020),Electricity,2010,:
388,European Union - 28 countries (2013-2020),Electricity,2010,:
389,Euro area - 19 countries  (from 2015),Electricity,2010,:
390,Belgium,Electricity,2010,:
391,Bulgaria,Electricity,2010,:
392,Czechia,Electricity,2010,:
393,Denmark,Electricity,2010,:
394,Germany (until 1990 former territory of the FRG),Electricity,2010,:
395,Estonia,Electricity,2010,:
396,Ireland,Electricity,2010,:
397,Greece,Electricity,2010,:
398,Spain,Electricity,2010,:
399,France,Electricity,2010,:
400,Croatia,Electricity,2010,:
401,Italy,Electricity,2010,:
402,Cyprus,Electricity,2010,:
403,Latvia,Electricity,2010,:
404,Lithuania,Electricity,2010,:
405,Luxembourg,Electricity,2010,:
406,Hungary,Electricity,2010,:
407,Malta,Electricity,2010,:
408,Netherlands,Electricity,2010,:
409,Austria,Electricity,2010,:
410,Poland,Electricity,2010,:
411,Portugal,Electricity,2010,:
412,Romania,Electricity,2010,:
413,Slovenia,Electricity,2010,:
414,Slovakia,Electricity,2010,:
415,Finland,Electricity,2010,:
416,Sweden,Electricity,2010,:
417,Iceland,Electricity,2010,:
418,Norway,Electricity,2010,:
419,United Kingdom,Electricity,2010,:
420,Montenegro,Electricity,2010,:
421,North Macedonia,Electricity,2010,:
422,Albania,Electricity,2010,:
423,Serbia,Electricity,2010,:
424,Turkey,Electricity,2010,:
425,Bosnia and Herzegovina,Electricity,2010,:
426,Kosovo (under United Nations Security Council Resolution 1244/99),Electricity,2010,:
427,Moldova,Electricity,2010,:
428,Ukraine,Electricity,2010,:
429,Georgia,Electricity,2010,:
430,European Union - 27 countries (from 2020),Heat,2010,"51,607.746"
431,European Union - 28 countries (2013-2020),Heat,2010,"52,874.035"
432,Euro area - 19 countries  (from 2015),Heat,2010,"30,709.328"
433,Belgium,Heat,2010,615.551
434,Bulgaria,Heat,2010,959.659
435,Czechia,Heat,2010,"2,425.671"
436,Denmark,Heat,2010,"2,839.997"
437,Germany (until 1990 former territory of the FRG),Heat,2010,"11,253.177"
438,Estonia,Heat,2010,531.528
439,Ireland,Heat,2010,0.000
440,Greece,Heat,2010,46.360
441,Spain,Heat,2010,0.000
442,France,Heat,2010,"2,849.571"
443,Croatia,Heat,2010,245.462
444,Italy,Heat,2010,"3,331.972"
445,Cyprus,Heat,2010,0.119
446,Latvia,Heat,2010,574.950
447,Lithuania,Heat,2010,921.515
448,Luxembourg,Heat,2010,70.505
449,Hungary,Heat,2010,"1,089.734"
450,Malta,Heat,2010,0.000
451,Netherlands,Heat,2010,"3,000.072"
452,Austria,Heat,2010,"1,578.783"
453,Poland,Heat,2010,"6,546.909"
454,Portugal,Heat,2010,337.776
455,Romania,Heat,2010,"1,649.541"
456,Slovenia,Heat,2010,191.793
457,Slovakia,Heat,2010,851.462
458,Finland,Heat,2010,"4,554.194"
459,Sweden,Heat,2010,"5,141.445"
460,Iceland,Heat,2010,458.226
461,Norway,Heat,2010,390.180
462,United Kingdom,Heat,2010,"1,266.289"
463,Montenegro,Heat,2010,0.000
464,North Macedonia,Heat,2010,53.979
465,Albania,Heat,2010,0.000
466,Serbia,Heat,2010,818.238
467,Turkey,Heat,2010,"1,225.996"
468,Bosnia and Herzegovina,Heat,2010,:
469,Kosovo (under United Nations Security Council Resolution 1244/99),Heat,2010,5.374
470,Moldova,Heat,2010,239.419
471,Ukraine,Heat,2010,"12,483.878"
472,Georgia,Heat,2010,:
473,European Union - 27 countries (from 2020),Total,2011,"933,988.605"
474,European Union - 28 countries (2013-2020),Total,2011,"1,052,828.977"
475,Euro area - 19 countries  (from 2015),Total,2011,"745,352.006"
476,Belgium,Total,2011,"32,456.523"
477,Bulgaria,Total,2011,"9,125.105"
478,Czechia,Total,2011,"23,335.941"
479,Denmark,Total,2011,"14,117.097"
480,Germany (until 1990 former territory of the FRG),Total,2011,"199,292.537"
481,Estonia,Total,2011,"2,802.469"
482,Ireland,Total,2011,"10,382.451"
483,Greece,Total,2011,"18,185.332"
484,Spain,Total,2011,"82,242.740"
485,France,Total,2011,"141,279.124"
486,Croatia,Total,2011,"6,875.184"
487,Italy,Total,2011,"117,518.026"
488,Cyprus,Total,2011,"1,614.212"
489,Latvia,Total,2011,"3,751.161"
490,Lithuania,Total,2011,"4,728.244"
491,Luxembourg,Total,2011,"3,889.131"
492,Hungary,Total,2011,"16,917.517"
493,Malta,Total,2011,388.461
494,Netherlands,Total,2011,"46,801.356"
495,Austria,Total,2011,"25,094.694"
496,Poland,Total,2011,"63,610.484"
497,Portugal,Total,2011,"16,441.254"
498,Romania,Total,2011,"22,590.604"
499,Slovenia,Total,2011,"5,037.235"
500,Slovakia,Total,2011,"9,732.586"
501,Finland,Total,2011,"23,714.470"
502,Sweden,Total,2011,"32,064.667"
503,Iceland,Total,2011,"2,521.164"
504,Norway,Total,2011,"18,799.653"
505,United Kingdom,Total,2011,"118,840.372"
506,Montenegro,Total,2011,719.280
507,North Macedonia,Total,2011,"1,903.210"
508,Albania,Total,2011,"1,953.468"
509,Serbia,Total,2011,"9,082.112"
510,Turkey,Total,2011,"76,076.088"
511,Bosnia and Herzegovina,Total,2011,:
512,Kosovo (under United Nations Security Council Resolution 1244/99),Total,2011,"1,266.098"
513,Moldova,Total,2011,"2,336.770"
514,Ukraine,Total,2011,"69,646.492"
515,Georgia,Total,2011,:
516,European Union - 27 countries (from 2020),Solid fossil fuels,2011,"26,929.464"
517,European Union - 28 countries (2013-2020),Solid fossil fuels,2011,"29,097.702"
518,Euro area - 19 countries  (from 2015),Solid fossil fuels,2011,"10,775.449"
519,Belgium,Solid fossil fuels,2011,457.365
520,Bulgaria,Solid fossil fuels,2011,444.529
521,Czechia,Solid fossil fuels,2011,"1,835.592"
522,Denmark,Solid fossil fuels,2011,145.340
523,Germany (until 1990 former territory of the FRG),Solid fossil fuels,2011,"4,880.797"
524,Estonia,Solid fossil fuels,2011,44.904
525,Ireland,Solid fossil fuels,2011,316.711
526,Greece,Solid fossil fuels,2011,216.572
527,Spain,Solid fossil fuels,2011,813.110
528,France,Solid fossil fuels,2011,"1,230.103"
529,Croatia,Solid fossil fuels,2011,144.499
530,Italy,Solid fossil fuels,2011,990.027
531,Cyprus,Solid fossil fuels,2011,7.460
532,Latvia,Solid fossil fuels,2011,97.110
533,Lithuania,Solid fossil fuels,2011,207.041
534,Luxembourg,Solid fossil fuels,2011,58.362
535,Hungary,Solid fossil fuels,2011,261.659
536,Malta,Solid fossil fuels,2011,0.000
537,Netherlands,Solid fossil fuels,2011,105.907
538,Austria,Solid fossil fuels,2011,340.942
539,Poland,Solid fossil fuels,2011,"12,117.433"
540,Portugal,Solid fossil fuels,2011,20.226
541,Romania,Solid fossil fuels,2011,789.044
542,Slovenia,Solid fossil fuels,2011,53.849
543,Slovakia,Solid fossil fuels,2011,723.085
544,Finland,Solid fossil fuels,2011,211.878
545,Sweden,Solid fossil fuels,2011,415.919
546,Iceland,Solid fossil fuels,2011,90.730
547,Norway,Solid fossil fuels,2011,444.454
548,United Kingdom,Solid fossil fuels,2011,"2,168.238"
549,Montenegro,Solid fossil fuels,2011,6.379
550,North Macedonia,Solid fossil fuels,2011,154.623
551,Albania,Solid fossil fuels,2011,138.974
552,Serbia,Solid fossil fuels,2011,976.689
553,Turkey,Solid fossil fuels,2011,"13,105.748"
554,Bosnia and Herzegovina,Solid fossil fuels,2011,:
555,Kosovo (under United Nations Security Council Resolution 1244/99),Solid fossil fuels,2011,82.550
556,Moldova,Solid fossil fuels,2011,117.187
557,Ukraine,Solid fossil fuels,2011,"4,962.836"
558,Georgia,Solid fossil fuels,2011,:
559,European Union - 27 countries (from 2020),Manufactured gases,2011,"5,382.738"
560,European Union - 28 countries (2013-2020),Manufactured gases,2011,"5,515.804"
561,Euro area - 19 countries  (from 2015),Manufactured gases,2011,"4,042.732"
562,Belgium,Manufactured gases,2011,232.731
563,Bulgaria,Manufactured gases,2011,0.000
564,Czechia,Manufactured gases,2011,340.969
