,country,sector,year,1K_tonne_oil_equivalent
345,European Union - 28 countries (2013-2020),commercial and public services,2011,"143,329.429"
346,Euro area - 19 countries  (from 2015),commercial and public services,2011,"104,010.927"
347,Belgium,commercial and public services,2011,"4,341.586"
348,Bulgaria,commercial and public services,2011,"1,089.740"
349,Czechia,commercial and public services,2011,"3,132.559"
350,Denmark,commercial and public services,2011,"1,947.914"
351,Germany (until 1990 former territory of the FRG),commercial and public services,2011,"30,735.597"
352,Estonia,commercial and public services,2011,402.178
353,Ireland,commercial and public services,2011,"1,504.766"
354,Greece,commercial and public services,2011,"1,870.116"
355,Spain,commercial and public services,2011,"10,231.874"
356,France,commercial and public services,2011,"20,955.566"
357,Croatia,commercial and public services,2011,786.281
358,Italy,commercial and public services,2011,"15,751.376"
359,Cyprus,commercial and public services,2011,236.358
360,Latvia,commercial and public services,2011,556.709
361,Lithuania,commercial and public services,2011,583.961
362,Luxembourg,commercial and public services,2011,352.576
363,Hungary,commercial and public services,2011,"3,053.612"
364,Malta,commercial and public services,2011,88.007
365,Netherlands,commercial and public services,2011,"6,989.448"
366,Austria,commercial and public services,2011,"2,555.310"
367,Poland,commercial and public services,2011,"8,429.508"
368,Portugal,commercial and public services,2011,"1,856.353"
369,Romania,commercial and public services,2011,"1,774.282"
370,Slovenia,commercial and public services,2011,531.470
371,Slovakia,commercial and public services,2011,"1,601.718"
372,Finland,commercial and public services,2011,"2,865.958"
373,Sweden,commercial and public services,2011,"3,864.910"
374,Iceland,commercial and public services,2011,301.744
375,Norway,commercial and public services,2011,"2,789.107"
376,United Kingdom,commercial and public services,2011,"15,239.696"
377,Montenegro,commercial and public services,2011,8.460
378,North Macedonia,commercial and public services,2011,206.178
379,Albania,commercial and public services,2011,163.473
380,Serbia,commercial and public services,2011,"1,046.670"
381,Turkey,commercial and public services,2011,"9,903.139"
382,Bosnia and Herzegovina,commercial and public services,2011,:
383,Kosovo (under United Nations Security Council Resolution 1244/99),commercial and public services,2011,117.913
384,Moldova,commercial and public services,2011,270.670
385,Ukraine,commercial and public services,2011,"5,129.446"
386,Georgia,commercial and public services,2011,:
387,European Union - 27 countries (from 2020),households,2011,"252,034.758"
388,European Union - 28 countries (2013-2020),households,2011,"289,820.849"
389,Euro area - 19 countries  (from 2015),households,2011,"193,415.378"
390,Belgium,households,2011,"8,000.830"
391,Bulgaria,households,2011,"2,374.281"
392,Czechia,households,2011,"6,863.723"
393,Denmark,households,2011,"4,496.285"
394,Germany (until 1990 former territory of the FRG),households,2011,"56,020.249"
395,Estonia,households,2011,935.253
396,Ireland,households,2011,"3,146.812"
397,Greece,households,2011,"5,526.044"
398,Spain,households,2011,"15,662.135"
399,France,households,2011,"39,858.113"
400,Croatia,households,2011,"2,643.689"
401,Italy,households,2011,"32,378.063"
402,Cyprus,households,2011,356.538
403,Latvia,households,2011,"1,327.389"
404,Lithuania,households,2011,"1,532.207"
405,Luxembourg,households,2011,478.246
406,Hungary,households,2011,"6,569.577"
407,Malta,households,2011,68.760
408,Netherlands,households,2011,"10,280.980"
409,Austria,households,2011,"6,551.691"
410,Poland,households,2011,"20,130.337"
411,Portugal,households,2011,"2,777.129"
412,Romania,households,2011,"7,859.678"
413,Slovenia,households,2011,"1,302.665"
414,Slovakia,households,2011,"2,121.122"
415,Finland,households,2011,"5,091.152"
416,Sweden,households,2011,"7,681.810"
417,Iceland,households,2011,370.818
418,Norway,households,2011,"4,270.480"
419,United Kingdom,households,2011,"37,786.091"
420,Montenegro,households,2011,268.887
421,North Macedonia,households,2011,567.027
422,Albania,households,2011,498.280
423,Serbia,households,2011,"3,134.547"
424,Turkey,households,2011,"20,809.776"
425,Bosnia and Herzegovina,households,2011,:
426,Kosovo (under United Nations Security Council Resolution 1244/99),households,2011,491.178
427,Moldova,households,2011,"1,137.092"
428,Ukraine,households,2011,"23,587.848"
429,Georgia,households,2011,:
430,European Union - 27 countries (from 2020),total,2012,"933,326.107"
431,European Union - 28 countries (2013-2020),total,2012,"1,055,984.702"
432,Euro area - 19 countries  (from 2015),total,2012,"746,526.657"
433,Belgium,total,2012,"32,909.970"
434,Bulgaria,total,2012,"9,103.369"
435,Czechia,total,2012,"23,321.757"
436,Denmark,total,2012,"13,612.515"
437,Germany (until 1990 former territory of the FRG),total,2012,"202,662.536"
438,Estonia,total,2012,"2,835.711"
439,Ireland,total,2012,"10,183.557"
440,Greece,total,2012,"16,402.985"
441,Spain,total,2012,"78,863.301"
442,France,total,2012,"146,279.622"
443,Croatia,total,2012,"6,559.662"
444,Italy,total,2012,"116,559.044"
445,Cyprus,total,2012,"1,492.799"
446,Latvia,total,2012,"3,908.282"
447,Lithuania,total,2012,"4,838.968"
448,Luxembourg,total,2012,"3,798.665"
449,Hungary,total,2012,"16,003.531"
450,Malta,total,2012,407.257
451,Netherlands,total,2012,"47,021.790"
452,Austria,total,2012,"25,202.372"
453,Poland,total,2012,"63,257.875"
454,Portugal,total,2012,"15,111.588"
455,Romania,total,2012,"22,629.168"
456,Slovenia,total,2012,"4,909.732"
457,Slovakia,total,2012,"9,198.465"
458,Finland,total,2012,"23,940.013"
459,Sweden,total,2012,"32,311.573"
460,Iceland,total,2012,"2,600.490"
461,Norway,total,2012,"18,926.525"
462,United Kingdom,total,2012,"122,658.595"
463,Montenegro,total,2012,698.970
464,North Macedonia,total,2012,"1,845.693"
465,Albania,total,2012,"1,790.623"
466,Serbia,total,2012,"8,412.293"
467,Turkey,total,2012,"79,158.418"
468,Bosnia and Herzegovina,total,2012,:
469,Kosovo (under United Nations Security Council Resolution 1244/99),total,2012,"1,219.372"
470,Moldova,total,2012,"2,267.918"
471,Ukraine,total,2012,"66,404.075"
472,Georgia,total,2012,:
473,European Union - 27 countries (from 2020),industry sector,2012,"239,925.947"
474,European Union - 28 countries (2013-2020),industry sector,2012,"263,539.227"
475,Euro area - 19 countries  (from 2015),industry sector,2012,"192,326.792"
476,Belgium,industry sector,2012,"10,540.838"
477,Bulgaria,industry sector,2012,"2,566.576"
478,Czechia,industry sector,2012,"6,721.828"
479,Denmark,industry sector,2012,"2,303.859"
480,Germany (until 1990 former territory of the FRG),industry sector,2012,"56,712.955"
481,Estonia,industry sector,2012,572.733
482,Ireland,industry sector,2012,"1,760.188"
483,Greece,industry sector,2012,"2,995.491"
484,Spain,industry sector,2012,"19,938.070"
485,France,industry sector,2012,"29,443.636"
486,Croatia,industry sector,2012,"1,098.882"
487,Italy,industry sector,2012,"26,948.704"
488,Cyprus,industry sector,2012,173.464
489,Latvia,industry sector,2012,827.436
490,Lithuania,industry sector,2012,"1,071.759"
491,Luxembourg,industry sector,2012,679.233
492,Hungary,industry sector,2012,"3,182.392"
493,Malta,industry sector,2012,43.762
494,Netherlands,industry sector,2012,"13,680.315"
495,Austria,industry sector,2012,"7,655.194"
496,Poland,industry sector,2012,"13,733.264"
497,Portugal,industry sector,2012,"4,606.171"
498,Romania,industry sector,2012,"6,748.255"
499,Slovenia,industry sector,2012,"1,207.414"
500,Slovakia,industry sector,2012,"3,233.817"
501,Finland,industry sector,2012,"10,235.612"
502,Sweden,industry sector,2012,"11,244.099"
503,Iceland,industry sector,2012,"1,359.322"
504,Norway,industry sector,2012,"5,954.087"
505,United Kingdom,industry sector,2012,"23,613.280"
506,Montenegro,industry sector,2012,203.208
507,North Macedonia,industry sector,2012,579.083
508,Albania,industry sector,2012,276.839
509,Serbia,industry sector,2012,"2,463.907"
510,Turkey,industry sector,2012,"25,566.818"
511,Bosnia and Herzegovina,industry sector,2012,:
512,Kosovo (under United Nations Security Council Resolution 1244/99),industry sector,2012,273.752
513,Moldova,industry sector,2012,234.103
514,Ukraine,industry sector,2012,"23,981.954"
515,Georgia,industry sector,2012,:
516,European Union - 27 countries (from 2020),transport sector,2012,"269,277.969"
517,European Union - 28 countries (2013-2020),transport sector,2012,"309,026.755"
518,Euro area - 19 countries  (from 2015),transport sector,2012,"221,668.832"
519,Belgium,transport sector,2012,"8,541.957"
520,Bulgaria,transport sector,2012,"2,914.390"
521,Czechia,transport sector,2012,"5,788.889"
522,Denmark,transport sector,2012,"4,081.505"
523,Germany (until 1990 former territory of the FRG),transport sector,2012,"53,259.098"
524,Estonia,transport sector,2012,757.812
525,Ireland,transport sector,2012,"3,601.276"
526,Greece,transport sector,2012,"5,615.546"
527,Spain,transport sector,2012,"29,785.944"
528,France,transport sector,2012,"45,247.397"
529,Croatia,transport sector,2012,"1,904.545"
530,Italy,transport sector,2012,"36,348.734"
531,Cyprus,transport sector,2012,687.941
532,Latvia,transport sector,2012,929.636
533,Lithuania,transport sector,2012,"1,508.424"
534,Luxembourg,transport sector,2012,"2,206.821"
535,Hungary,transport sector,2012,"3,692.233"
536,Malta,transport sector,2012,181.194
537,Netherlands,transport sector,2012,"11,278.336"
538,Austria,transport sector,2012,"7,790.770"
539,Poland,transport sector,2012,"16,680.367"
540,Portugal,transport sector,2012,"5,531.309"
541,Romania,transport sector,2012,"5,314.735"
542,Slovenia,transport sector,2012,"1,899.103"
543,Slovakia,transport sector,2012,"2,299.840"
544,Finland,transport sector,2012,"4,197.694"
545,Sweden,transport sector,2012,"7,232.473"
546,Iceland,transport sector,2012,270.221
547,Norway,transport sector,2012,"4,639.175"
548,United Kingdom,transport sector,2012,"39,748.786"
549,Montenegro,transport sector,2012,202.848
550,North Macedonia,transport sector,2012,453.275
551,Albania,transport sector,2012,737.022
552,Serbia,transport sector,2012,"1,806.836"
553,Turkey,transport sector,2012,"17,724.906"
554,Bosnia and Herzegovina,transport sector,2012,:
555,Kosovo (under United Nations Security Council Resolution 1244/99),transport sector,2012,333.486
556,Moldova,transport sector,2012,546.328
557,Ukraine,transport sector,2012,"11,772.360"
558,Georgia,transport sector,2012,:
559,European Union - 27 countries (from 2020),commercial and public services,2012,"130,901.910"
560,European Union - 28 countries (2013-2020),commercial and public services,2012,"147,134.006"
561,Euro area - 19 countries  (from 2015),commercial and public services,2012,"107,529.015"
562,Belgium,commercial and public services,2012,"4,535.909"
563,Bulgaria,commercial and public services,2012,"1,069.698"
564,Czechia,commercial and public services,2012,"3,039.527"
565,Denmark,commercial and public services,2012,"1,978.549"
566,Germany (until 1990 former territory of the FRG),commercial and public services,2012,"32,027.815"
567,Estonia,commercial and public services,2012,423.520
568,Ireland,commercial and public services,2012,"1,555.902"
569,Greece,commercial and public services,2012,"1,940.591"
570,Spain,commercial and public services,2012,"10,115.514"
571,France,commercial and public services,2012,"22,476.989"
572,Croatia,commercial and public services,2012,757.876
573,Italy,commercial and public services,2012,"15,930.534"
574,Cyprus,commercial and public services,2012,222.642
575,Latvia,commercial and public services,2012,623.331
576,Lithuania,commercial and public services,2012,610.064
577,Luxembourg,commercial and public services,2012,396.527
578,Hungary,commercial and public services,2012,"2,353.881"
579,Malta,commercial and public services,2012,100.415
580,Netherlands,commercial and public services,2012,"7,238.688"
581,Austria,commercial and public services,2012,"2,552.953"
582,Poland,commercial and public services,2012,"8,363.910"
583,Portugal,commercial and public services,2012,"1,843.417"
584,Romania,commercial and public services,2012,"1,763.099"
585,Slovenia,commercial and public services,2012,453.272
586,Slovakia,commercial and public services,2012,"1,451.245"
587,Finland,commercial and public services,2012,"3,029.687"
588,Sweden,commercial and public services,2012,"4,046.355"
589,Iceland,commercial and public services,2012,324.883
590,Norway,commercial and public services,2012,"2,913.694"
591,United Kingdom,commercial and public services,2012,"16,232.096"
592,Montenegro,commercial and public services,2012,8.622
593,North Macedonia,commercial and public services,2012,228.654
594,Albania,commercial and public services,2012,157.272
595,Serbia,commercial and public services,2012,834.956
596,Turkey,commercial and public services,2012,"11,005.128"
597,Bosnia and Herzegovina,commercial and public services,2012,:
598,Kosovo (under United Nations Security Council Resolution 1244/99),commercial and public services,2012,117.736
599,Moldova,commercial and public services,2012,269.477
600,Ukraine,commercial and public services,2012,"5,006.804"
601,Georgia,commercial and public services,2012,:
602,European Union - 27 countries (from 2020),households,2012,"263,188.033"
603,European Union - 28 countries (2013-2020),households,2012,"304,145.978"
604,Euro area - 19 countries  (from 2015),households,2012,"203,410.774"
