,Date,Country,Average Windspeed(m/s)
355,2017-12-31,Poland,6.36
356,2018-12-31,Poland,5.87
357,2019-12-31,Poland,6.34
365,2015-12-31,Portugal,4.67
366,2016-12-31,Portugal,4.89
367,2017-12-31,Portugal,4.75
368,2018-12-31,Portugal,4.77
369,2019-12-31,Portugal,4.94
377,2015-12-31,Romania,3.98
378,2016-12-31,Romania,4.04
379,2017-12-31,Romania,4.18
380,2018-12-31,Romania,3.87
381,2019-12-31,Romania,3.97
389,2015-12-31,Serbia,3.83
390,2016-12-31,Serbia,3.95
391,2017-12-31,Serbia,4.12
392,2018-12-31,Serbia,3.99
393,2019-12-31,Serbia,4.02
401,2015-12-31,Sweden,6.03
402,2016-12-31,Sweden,5.48
403,2017-12-31,Sweden,5.73
404,2018-12-31,Sweden,5.46
405,2019-12-31,Sweden,5.59
413,2015-12-31,Slovenia,3.34
414,2016-12-31,Slovenia,3.28
415,2017-12-31,Slovenia,3.4
416,2018-12-31,Slovenia,3.17
417,2019-12-31,Slovenia,3.31
425,2015-12-31,Turkey,3.23
426,2016-12-31,Turkey,3.41
427,2017-12-31,Turkey,3.25
428,2018-12-31,Turkey,3.21
429,2019-12-31,Turkey,3.24
437,2015-12-31,United Kingdom,7.42
438,2016-12-31,United Kingdom,6.76
439,2017-12-31,United Kingdom,7.06
440,2018-12-31,United Kingdom,6.89
441,2019-12-31,United Kingdom,6.85
